NBA Season,Team,% Salary Cap,Prev # All-Stars,Prev W-L,# (H) Games,(H) Attendance Season,(H) Arena Capacity,(H) Capacity Season,(H) Avg Attendance,(H) % Capacity,# (A) Games,(A) Avg Attendance,(A) % Capacity,(A) Games,(H) & (A) Avg,(H) & (A) PCT
2015-2016,Memphis Grizzlies,1.2,0,0.67,41,684603,18119,742879,16698,0.92,41,17589,0.92,82,17143,0.92
2016-2017,Memphis Grizzlies,1.22,1,0.51,41,684603,18119,742879,16698,0.92,41,17589,0.92,82,17143,0.92
2008-2009,Miami Heat,1.19,1,0.18,40,729178,19600,784000,18229,0.93,41,18150,0.94,81,18190,0.93
2009-2010,Miami Heat,1.18,1,0.52,41,726935,19600,803600,17730,0.91,41,18040,0.94,82,17885,0.92
2010-2011,Miami Heat,1.05,3,0.57,41,810930,19600,803600,19779,1.01,41,19447,1.01,82,19613,1.01
2011-2012,Miami Heat,1.24,3,0.71,33,657855,19600,646800,19935,1.02,33,19399,1,66,19667,1.01
2012-2013,Miami Heat,1.38,3,0.7,41,819290,19600,803600,19983,1.02,41,19090,0.99,82,19536,1.01
2013-2014,Miami Heat,1.4,3,0.81,41,811036,19600,803600,19781,1.01,41,19190,0.99,82,19486,1
2014-2015,Miami Heat,1.31,2,0.66,41,808223,19600,803600,19713,1.01,41,17703,0.92,82,18708,0.96
2015-2016,Miami Heat,1.24,2,0.45,41,809350,19600,803600,19740,1.01,41,18044,0.94,82,18892,0.97
2016-2017,Miami Heat,1.11,1,0.59,41,809350,19600,803600,19740,1.01,41,18044,0.94,82,18892,0.97
2008-2009,Milwaukee Bucks,1.22,0,0.32,41,630976,18717,767397,15390,0.82,41,16947,0.87,82,16168,0.85
2009-2010,Milwaukee Bucks,1.06,0,0.42,41,619453,18717,767397,15109,0.81,41,16823,0.87,82,15966,0.84
2010-2011,Milwaukee Bucks,1.13,0,0.56,41,631910,18717,767397,15412,0.82,41,16911,0.87,82,16162,0.85
2011-2012,Milwaukee Bucks,1,0,0.43,33,485717,18717,617661,14719,0.79,33,16661,0.85,66,15690,0.82
2012-2013,Milwaukee Bucks,1.06,0,0.47,41,616469,18717,767397,15036,0.8,41,16919,0.88,82,15977,0.84
2013-2014,Milwaukee Bucks,0.84,0,0.46,41,552967,18717,767397,13487,0.72,41,17013,0.88,82,15250,0.8
2014-2015,Milwaukee Bucks,0.97,0,0.18,41,611226,18717,767397,14908,0.8,41,17180,0.89,82,16044,0.84
2015-2016,Milwaukee Bucks,1.03,0,0.5,41,621808,18717,767397,15166,0.81,41,17623,0.91,82,16395,0.86
2016-2017,Milwaukee Bucks,1.17,1,0.4,41,621808,18717,767397,15166,0.81,41,17623,0.91,82,16395,0.86
2008-2009,Minnesota Timberwolves,1.13,0,0.27,41,594743,19356,793596,14506,0.75,40,16845,0.88,81,15675,0.82
2009-2010,Minnesota Timberwolves,0.99,0,0.29,41,619170,19356,793596,15102,0.78,41,16112,0.85,82,15607,0.81
2010-2011,Minnesota Timberwolves,0.87,1,0.18,41,624960,19356,793596,15243,0.79,41,16885,0.89,82,16064,0.84
2011-2012,Minnesota Timberwolves,0.95,1,0.21,33,577197,19356,638748,17491,0.9,33,16310,0.87,66,16900,0.89
2012-2013,Minnesota Timberwolves,1.17,0,0.39,41,669956,19356,793596,16340,0.84,41,17034,0.89,82,16687,0.87
2013-2014,Minnesota Timberwolves,1.15,1,0.38,41,597157,19356,793596,14565,0.75,41,17605,0.92,82,16085,0.84
2014-2015,Minnesota Timberwolves,1.03,0,0.49,41,595652,19356,793596,14528,0.75,41,18000,0.94,82,16264,0.85
2015-2016,Minnesota Timberwolves,1.05,0,0.2,41,581178,19356,793596,14175,0.73,41,17831,0.94,82,16003,0.84
2016-2017,Minnesota Timberwolves,0.89,1,0.35,41,581178,19356,793596,14175,0.73,41,17831,0.94,82,16003,0.84
